term,estimate,std_error,conf_low,conf_high,seed,true_value,index
lambda,0.5213530304327404,0.012195174685167074,0.49745092726463835,0.5452551336008424,20191018,0.5,1
beta_0,-4.427279945331373,0.28408503211845487,-4.984076376830449,-3.870483513832297,20191018,-5,1
beta_logHI,1.8228837076185158,0.08868593951535164,1.649062460233329,1.9967049550037026,20191018,2,1
beta_logNI,0.9630977763335064,0.05260484237504117,0.8599941798660192,1.0662013728009936,20191018,1,1
lambda,0.4890217512635791,0.01098884761365922,0.4674840057092081,0.5105594968179501,20191019,0.5,2
beta_0,-5.301690105538768,0.33909980020688424,-5.9663135011089885,-4.637066709968547,20191019,-5,2
beta_logHI,2.0488363800112555,0.10544751765648318,1.842163043145397,2.255509716877114,20191019,2,2
beta_logNI,1.015778316818456,0.05837508656455936,0.9013652495575117,1.1301913840794002,20191019,1,2
lambda,0.5157100209672862,0.011808325736985545,0.4925661278050772,0.5388539141294953,20191020,0.5,3
beta_0,-4.584588458691593,0.29083951391604423,-5.154623431248176,-4.014553486135011,20191020,-5,3
beta_logHI,1.8508780148460287,0.09061033056434112,1.6732850303126512,2.028470999379406,20191020,2,3
beta_logNI,0.9207992932144643,0.050907268391234876,0.8210228806163297,1.020575705812599,20191020,1,3
lambda,0.5225534832435453,0.011576761846335312,0.4998634469671307,0.54524351951996,20191021,0.5,4
beta_0,-4.987859882392656,0.30498154810656253,-5.585612732630788,-4.390107032154524,20191021,-5,4
beta_logHI,1.9772329669403357,0.0955693015172705,1.7899205779388363,2.164545355941835,20191021,2,4
beta_logNI,1.0621809740693677,0.05668572486250133,0.9510789949013184,1.173282953237417,20191021,1,4
lambda,0.49443976395403144,0.011278867802391663,0.47233358927495533,0.5165459386331075,20191022,0.5,5
beta_0,-5.089976129110747,0.3320944449382327,-5.740869280655503,-4.439082977565991,20191022,-5,5
beta_logHI,2.0162671344440706,0.10251358391907592,1.8153442020365573,2.217190066851584,20191022,2,5
beta_logNI,1.017219647404349,0.0601961843010274,0.8992372941675998,1.1352020006410979,20191022,1,5
lambda,0.4727280500340302,0.010596087070590534,0.4519601009986222,0.49349599906943814,20191023,0.5,6
beta_0,-5.554125269820504,0.3508202321379052,-6.241720289858779,-4.866530249782229,20191023,-5,6
beta_logHI,2.20601171486735,0.11343638449191105,1.9836804867267663,2.4283429430079333,20191023,2,6
beta_logNI,1.041433788767282,0.060665760269806975,0.9225310835437195,1.1603364939908445,20191023,1,6
lambda,0.49182960490676086,0.01081983759897667,0.4706231128941943,0.5130360969193275,20191024,0.5,7
beta_0,-5.613186336852993,0.3432713333973497,-6.28598578723684,-4.940386886469146,20191024,-5,7
beta_logHI,2.2185762205828228,0.11068532610023239,2.0016369678092962,2.4355154733563493,20191024,2,7
beta_logNI,1.115497206284266,0.062247638950963115,0.9934940758177258,1.2375003367508064,20191024,1,7
lambda,0.5070121597086041,0.011474479434702017,0.48452259327524266,0.5295017261419656,20191025,0.5,8
beta_0,-4.926166384752973,0.30848599175532854,-5.530787818328537,-4.321544951177409,20191025,-5,8
beta_logHI,2.0252862754450294,0.1002265397741765,1.8288458671925722,2.2217266836974865,20191025,2,8
beta_logNI,0.9890206682731317,0.054854080411442935,0.8815086462616395,1.096532690284624,20191025,1,8
lambda,0.5072260546329324,0.011567635760316459,0.4845539051564345,0.5298982041094302,20191026,0.5,9
beta_0,-5.051309572002292,0.33132313827512744,-5.700690990266326,-4.4019281537382575,20191026,-5,9
beta_logHI,1.997853247677775,0.10299919288978653,1.7959785391770995,2.1997279561784504,20191026,2,9
beta_logNI,1.0316803355909792,0.05910987782154456,0.915827103930189,1.1475335672517695,20191026,1,9
lambda,0.4906637612494638,0.011111187487712991,0.46888623394807427,0.5124412885508534,20191027,0.5,10
beta_0,-5.058095999395097,0.3146915885610061,-5.674880179212366,-4.4413118195778285,20191027,-5,10
beta_logHI,1.9759348698138408,0.09660736734352852,1.786587909179294,2.1652818304483876,20191027,2,10
beta_logNI,1.0542725410517315,0.05857312193954728,0.939471331588146,1.169073750515317,20191027,1,10
lambda,0.49607345678328546,0.0111876206058037,0.47414612332321204,0.5180007902433589,20191028,0.5,11
beta_0,-4.815537997891345,0.29984743491738264,-5.403228171186132,-4.227847824596557,20191028,-5,11
beta_logHI,1.9586649322951488,0.09580396795430716,1.7708926055286773,2.1464372590616203,20191028,2,11
beta_logNI,0.966488637490516,0.05421987913203729,0.8602196271456081,1.072757647835424,20191028,1,11
lambda,0.4940802020580612,0.011115211945057322,0.4722947869652194,0.515865617150903,20191029,0.5,12
beta_0,-5.110836593863815,0.329778670939893,-5.757190911775491,-4.464482275952139,20191029,-5,12
beta_logHI,2.056861652320498,0.10403805580870791,1.8529508099138625,2.2607724947271337,20191029,2,12
beta_logNI,0.964480005921685,0.0577596063603271,0.8512732576942333,1.0776867541491368,20191029,1,12
lambda,0.5090134912585266,0.01122831183947318,0.4870064044459745,0.5310205780710787,20191030,0.5,13
beta_0,-5.21387077585719,0.32158852550761957,-5.844172703693465,-4.583568848020915,20191030,-5,13
beta_logHI,2.0791430896461125,0.10271832697497588,1.8778188682229506,2.280467311069274,20191030,2,13
beta_logNI,1.0731503546536132,0.05870722018613513,0.9580863174563256,1.188214391850901,20191030,1,13
lambda,0.4993686704166006,0.011123421664399074,0.47756716456952586,0.5211701762636753,20191031,0.5,14
beta_0,-5.151387181742009,0.3254987699052908,-5.7893530477684685,-4.513421315715549,20191031,-5,14
beta_logHI,2.049749706694687,0.10358873135497992,1.8467195240347314,2.2527798893546427,20191031,2,14
beta_logNI,0.9969405303558139,0.05628147814761373,0.886630860189813,1.1072502005218148,20191031,1,14
lambda,0.5013702704242843,0.010305726499568466,0.48117141765061006,0.5215691231979586,20191032,0.5,15
beta_0,-5.935480880000133,0.3440459989228886,-6.609798646914101,-5.261163113086166,20191032,-5,15
beta_logHI,2.2904113395273096,0.10946808824320362,2.075857829114178,2.5049648499404413,20191032,2,15
